Ticker,Index,Lag (days),Metric,Correlation,p-value,Sample Size (n)
^GSPC,S&P 500,0,avg_vader,-0.04731941747173343,0.8838968334107826,12
^GSPC,S&P 500,0,finbert_pos,-0.37596392749507385,0.22841815459456621,12
^GSPC,S&P 500,1,avg_vader,0.06624519039956785,0.8379248660820964,12
^GSPC,S&P 500,1,finbert_pos,0.2839408448859884,0.37110933642088967,12
^GSPC,S&P 500,2,avg_vader,0.08308895065334296,0.8317033767731006,9
^GSPC,S&P 500,2,finbert_pos,-0.024740838521965444,0.9496240799665294,9
^GSPC,S&P 500,3,avg_vader,-0.10551704347618711,0.8423118400664165,6
^GSPC,S&P 500,3,finbert_pos,-0.29148492529174647,0.5751553962014246,6
^IXIC,NASDAQ,0,avg_vader,-0.04162102846303276,0.8978094615694305,12
^IXIC,NASDAQ,0,finbert_pos,-0.35987901451877513,0.25054122949671165,12
^IXIC,NASDAQ,1,avg_vader,0.09292386282983339,0.7739326242187092,12
^IXIC,NASDAQ,1,finbert_pos,0.07888414311605875,0.8074727372544332,12
^IXIC,NASDAQ,2,avg_vader,0.07134838489104427,0.8552654490630085,9
^IXIC,NASDAQ,2,finbert_pos,-0.14414882040250465,0.7113799026891634,9
^IXIC,NASDAQ,3,avg_vader,-0.10551704347618712,0.8423118400664165,6
^IXIC,NASDAQ,3,finbert_pos,-0.29148492529174647,0.5751553962014246,6
^DJI,Dow Jones,0,avg_vader,-0.06403729031339724,0.84326672135373,12
^DJI,Dow Jones,0,finbert_pos,-0.3204658994711499,0.30984075530285415,12
^DJI,Dow Jones,1,avg_vader,-0.013284424830595038,0.9673155520482424,12
^DJI,Dow Jones,1,finbert_pos,0.5674164551719201,0.05432919865002176,12
^DJI,Dow Jones,2,avg_vader,0.09256059195620066,0.8127781801417183,9
^DJI,Dow Jones,2,finbert_pos,0.12510641076472812,0.7484361464918228,9
^DJI,Dow Jones,3,avg_vader,-0.10551704347618712,0.8423118400664165,6
^DJI,Dow Jones,3,finbert_pos,-0.29148492529174647,0.5751553962014246,6
